1/25 0:26:41|ChromeMainFrame|createBrowserWindowWithListener|constructor called.
1/25 0:26:44|Utils|isSplit|Splitting for Ajax Header = false
1/25 0:26:44|Utils|isSplit|Splitting for method GET = false
1/25 0:26:44|Utils|isSplit|result = false
1/25 0:26:44|Utils|isSplitForTimeDiff|Method called.
1/25 0:26:44|Utils|isSplit|Splitting for time 0.052000000000000046 = false
1/25 0:26:44|Utils|isSplit|result = false
1/25 0:26:44|Utils|isSplitForURLType|Method called.
1/25 0:26:44|Utils|isSplitForURLType|value = false
1/25 0:26:44|Utils|isSplitForURLType|value = false
1/25 0:26:44|Utils|isSplit|isSplitForURLType = false
1/25 0:26:44|ChromeRecordingHttpListener|onBeforeURLRequest|method called.
1/25 0:26:44|ChromeRecordingHttpListener|onBeforeSendHeaders for url = http://172.24.1.4:8086/30.c522fdfd4c.js|method called.
1/25 0:26:44|ChromeRecordingHttpListener|dumpRequestHeaders|method called.
1/25 0:26:44|Utils|getURLTracker|urlString = http://172.24.1.4:8086/30.c522fdfd4c.js, requestOrResponce = request
1/25 0:26:44|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1674629804157
1/25 0:26:44|Utils|convertToSecond method called|time = 2228.0
1/25 0:26:44|Utils|isSplit|Method called.
1/25 0:26:44|Utils|isSplit|Splitting for Ajax Header = false
1/25 0:26:44|Utils|isSplit|Splitting for method GET = false
1/25 0:26:44|Utils|isSplit|result = false
1/25 0:26:44|Utils|isSplitForTimeDiff|Method called.
1/25 0:26:44|Utils|isSplit|Splitting for time 0.05300000000000038 = false
1/25 0:26:44|Utils|isSplit|result = false
1/25 0:26:44|Utils|isSplitForURLType|Method called.
1/25 0:26:44|Utils|isSplitForURLType|value = false
1/25 0:26:44|Utils|isSplitForURLType|value = false
1/25 0:26:44|Utils|isSplit|isSplitForURLType = false
1/25 0:26:44|ChromeBrowserNavigationListener|onFinishLoadingFrame|Method Called for URL=http://172.24.1.4:8086/signin
1/25 0:26:44|Utils|getURLTracker|urlString = http://172.24.1.4:8086/signin, requestOrResponce = snapShot
1/25 0:26:44|ChromeCClickListener|addAllHTMLElementsListeners|Method Called.
1/25 0:26:44|Utils|getURLTracker|urlString = http://172.24.1.4:8086/46c25bd08b.wasm, requestOrResponce = response
1/25 0:26:44|Utils|getURLTracker|Response comes after the frame is loaded. urlString = http://172.24.1.4:8086/46c25bd08b.wasm
1/25 0:26:44|Utils|getURLTracker|The Url is already seen. http://172.24.1.4:8086/46c25bd08b.wasm
1/25 0:26:44|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1674629804278
1/25 0:26:44|Utils|convertToSecond method called|time = 2349.0
1/25 0:26:44|Utils|isSplit|Method called.
1/25 0:26:44|Utils|isSplit|Splitting for Ajax Header = false
1/25 0:26:44|Utils|isSplit|Splitting for method GET = false
1/25 0:26:44|Utils|isSplit|result = false
1/25 0:26:44|Utils|isSplitForTimeDiff|Method called.
1/25 0:26:44|Utils|isSplit|Splitting for time 0.052000000000000046 = false
1/25 0:26:44|Utils|isSplit|result = false
1/25 0:26:44|Utils|isSplitForURLType|Method called.
1/25 0:26:44|Utils|isSplitForURLType|value = false
1/25 0:26:44|Utils|isSplitForURLType|value = false
1/25 0:26:44|Utils|isSplitForURLType|value = false
1/25 0:26:44|Utils|isSplit|isSplitForURLType = false
1/25 0:26:44|ChromeRecordingHttpListener|checkSplitOptionAndCaptureSnapShotForResponse|Auto split option not valid for URL = http://172.24.1.4:8086/46c25bd08b.wasm
1/25 0:26:44|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1674629804278
1/25 0:26:44|Utils|convertToSecond method called|time = 2349.0
1/25 0:26:44|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1674629804278
1/25 0:26:44|Utils|convertToSecond method called|time = 2349.0
1/25 0:26:44|Utils|getURLTracker|urlString = http://172.24.1.4:8086/24.6e47f1218a.js, requestOrResponce = response
1/25 0:26:44|Utils|getURLTracker|Response comes after the frame is loaded. urlString = http://172.24.1.4:8086/24.6e47f1218a.js
1/25 0:26:44|Utils|getURLTracker|The Url is already seen. http://172.24.1.4:8086/24.6e47f1218a.js
1/25 0:26:44|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1674629804472
1/25 0:26:44|Utils|convertToSecond method called|time = 2543.0
1/25 0:26:44|Utils|isSplit|Method called.
1/25 0:26:44|Utils|isSplit|Splitting for Ajax Header = false
1/25 0:26:44|Utils|isSplit|Splitting for method GET = false
1/25 0:26:44|Utils|isSplit|result = false
1/25 0:26:44|Utils|isSplitForTimeDiff|Method called.
1/25 0:26:44|Utils|isSplit|Splitting for time -0.13500000000000023 = false
1/25 0:26:44|Utils|isSplit|result = false
1/25 0:26:44|Utils|isSplitForURLType|Method called.
1/25 0:26:44|Utils|isSplitForURLType|value = false
1/25 0:26:44|Utils|isSplitForURLType|value = false
1/25 0:26:44|Utils|isSplitForURLType|value = false
1/25 0:26:44|Utils|isSplit|isSplitForURLType = false
1/25 0:26:44|ChromeRecordingHttpListener|checkSplitOptionAndCaptureSnapShotForResponse|Auto split option not valid for URL = http://172.24.1.4:8086/24.6e47f1218a.js
1/25 0:26:44|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1674629804472
1/25 0:26:44|Utils|convertToSecond method called|time = 2543.0
1/25 0:26:44|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1674629804472
1/25 0:26:44|Utils|convertToSecond method called|time = 2543.0
1/25 0:26:44|Utils|getURLTracker|urlString = http://172.24.1.4:8086/30.c522fdfd4c.js, requestOrResponce = response
1/25 0:26:44|Utils|getURLTracker|Response comes after the frame is loaded. urlString = http://172.24.1.4:8086/30.c522fdfd4c.js
1/25 0:26:44|Utils|getURLTracker|The Url is already seen. http://172.24.1.4:8086/30.c522fdfd4c.js
1/25 0:26:44|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1674629804485
1/25 0:26:44|Utils|convertToSecond method called|time = 2556.0
1/25 0:26:44|Utils|isSplit|Method called.
1/25 0:26:44|Utils|isSplit|Splitting for Ajax Header = false
1/25 0:26:44|Utils|isSplit|Splitting for method GET = false
1/25 0:26:44|Utils|isSplit|result = false
1/25 0:26:44|Utils|isSplitForTimeDiff|Method called.
1/25 0:26:44|Utils|isSplit|Splitting for time -0.31499999999999995 = false
1/25 0:26:44|Utils|isSplit|result = false
1/25 0:26:44|Utils|isSplitForURLType|Method called.
1/25 0:26:44|Utils|isSplitForURLType|value = false
1/25 0:26:44|Utils|isSplitForURLType|value = false
1/25 0:26:44|Utils|isSplitForURLType|value = false
1/25 0:26:44|Utils|isSplit|isSplitForURLType = false
1/25 0:26:44|ChromeRecordingHttpListener|checkSplitOptionAndCaptureSnapShotForResponse|Auto split option not valid for URL = http://172.24.1.4:8086/30.c522fdfd4c.js
1/25 0:26:44|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1674629804485
1/25 0:26:44|Utils|convertToSecond method called|time = 2556.0
1/25 0:26:44|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1674629804485
1/25 0:26:44|Utils|convertToSecond method called|time = 2556.0
1/25 0:26:45|ChromeRecordingHttpListener|onCompleted |Adding dump diretory with path=C:\Users\kanhucharan.ghadai\Desktop\recorder\\scripts\workspace/admin/system/cavisson/default/default/scripts/influxdbook\dump\flow\172.24.1.4_8086/
1/25 0:26:46|ChromeRecordingHttpListener|onCompleted |Adding dump diretory with path=C:\Users\kanhucharan.ghadai\Desktop\recorder\\scripts\workspace/admin/system/cavisson/default/default/scripts/influxdbook\dump\flow\172.24.1.4_8086/
1/25 0:26:47|ChromeRecordingHttpListener|onCompleted |Adding dump diretory with path=C:\Users\kanhucharan.ghadai\Desktop\recorder\\scripts\workspace/admin/system/cavisson/default/default/scripts/influxdbook\dump\flow\172.24.1.4_8086/
1/25 0:26:48|ChromeRecordingHttpListener|onBeforeURLRequest|method called.
1/25 0:26:48|ChromeRecordingHttpListener|onBeforeSendHeaders for url = http://172.24.1.4:8086/351.335284ffd1.js|method called.
1/25 0:26:48|ChromeRecordingHttpListener|dumpRequestHeaders|method called.
1/25 0:26:48|Utils|getURLTracker|urlString = http://172.24.1.4:8086/351.335284ffd1.js, requestOrResponce = request
1/25 0:26:48|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1674629808106
1/25 0:26:48|Utils|convertToSecond method called|time = 6177.0
1/25 0:26:48|Utils|isSplit|Method called.
1/25 0:26:48|Utils|isSplit|Splitting for Ajax Header = false
1/25 0:26:48|Utils|isSplit|Splitting for method GET = false
1/25 0:26:48|Utils|isSplit|result = false
1/25 0:26:48|Utils|isSplitForTimeDiff|Method called.
1/25 0:26:48|Utils|isSplit|Splitting for time 3.6209999999999996 = false
1/25 0:26:48|Utils|isSplit|result = false
1/25 0:26:48|Utils|isSplitForURLType|Method called.
1/25 0:26:48|Utils|isSplitForURLType|value = false
1/25 0:26:48|Utils|isSplitForURLType|value = false
1/25 0:26:48|Utils|isSplit|isSplitForURLType = false
1/25 0:26:48|Utils|getURLTracker|urlString = http://172.24.1.4:8086/351.335284ffd1.js, requestOrResponce = response
1/25 0:26:48|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1674629808186
1/25 0:26:48|Utils|convertToSecond method called|time = 6257.0
1/25 0:26:48|Utils|isSplit|Method called.
1/25 0:26:48|Utils|isSplit|Splitting for Ajax Header = false
1/25 0:26:48|Utils|isSplit|Splitting for method GET = false
1/25 0:26:48|Utils|isSplit|result = false
1/25 0:26:48|Utils|isSplitForTimeDiff|Method called.
1/25 0:26:48|Utils|isSplit|Splitting for time 3.6209999999999996 = false
1/25 0:26:48|Utils|isSplit|result = false
1/25 0:26:48|Utils|isSplitForURLType|Method called.
1/25 0:26:48|Utils|isSplitForURLType|value = false
1/25 0:26:48|Utils|isSplitForURLType|value = false
1/25 0:26:48|Utils|isSplitForURLType|value = false
1/25 0:26:48|Utils|isSplit|isSplitForURLType = false
1/25 0:26:48|ChromeRecordingHttpListener|checkSplitOptionAndCaptureSnapShotForResponse|Auto split option not valid for URL = http://172.24.1.4:8086/351.335284ffd1.js
1/25 0:26:48|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1674629808186
1/25 0:26:48|Utils|convertToSecond method called|time = 6257.0
1/25 0:26:48|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1674629808186
1/25 0:26:48|Utils|convertToSecond method called|time = 6257.0
1/25 0:26:48|ChromeRecordingHttpListener|onCompleted |Adding dump diretory with path=C:\Users\kanhucharan.ghadai\Desktop\recorder\\scripts\workspace/admin/system/cavisson/default/default/scripts/influxdbook\dump\flow\172.24.1.4_8086/
1/25 0:26:48|ChromeRecordingHttpListener|onBeforeURLRequest|method called.
1/25 0:26:48|ChromeRecordingHttpListener|onBeforeSendHeaders for url = http://172.24.1.4:8086/api/v2/setup|method called.
1/25 0:26:48|ChromeRecordingHttpListener|dumpRequestHeaders|method called.
1/25 0:26:48|Utils|getURLTracker|urlString = http://172.24.1.4:8086/api/v2/setup, requestOrResponce = request
1/25 0:26:48|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1674629808203
1/25 0:26:48|Utils|convertToSecond method called|time = 6274.0
1/25 0:26:48|Utils|isSplit|Method called.
1/25 0:26:48|Utils|isSplit|Splitting for Ajax Header = false
1/25 0:26:48|Utils|isSplit|Splitting for method GET = false
1/25 0:26:48|Utils|isSplit|result = false
1/25 0:26:48|Utils|isSplitForTimeDiff|Method called.
1/25 0:26:48|Utils|isSplit|Splitting for time 0.017000000000000348 = false
1/25 0:26:48|Utils|isSplit|result = false
1/25 0:26:48|Utils|isSplitForURLType|Method called.
1/25 0:26:48|Utils|isSplitForURLType|value = true
1/25 0:26:48|ChromeRecordingHttpListener|dumpRequestHeaders|Auto split page url based on URL type = http://172.24.1.4:8086/api/v2/setup
1/25 0:26:48|Utils|getURLTracker|urlString = http://172.24.1.4:8086/api/v2/setup, requestOrResponce = response
1/25 0:26:48|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1674629808228
1/25 0:26:48|Utils|convertToSecond method called|time = 6299.0
1/25 0:26:48|Utils|isSplit|Method called.
1/25 0:26:48|Utils|isSplit|Splitting for Ajax Header = false
1/25 0:26:48|Utils|isSplit|Splitting for method GET = false
1/25 0:26:48|Utils|isSplit|result = false
1/25 0:26:48|Utils|isSplitForTimeDiff|Method called.
1/25 0:26:48|Utils|isSplit|Splitting for time 0.017000000000000348 = false
1/25 0:26:48|Utils|isSplit|result = false
1/25 0:26:48|Utils|isSplitForURLType|Method called.
1/25 0:26:48|Utils|isSplitForURLType|value = true
1/25 0:26:48|ChromeRecordingHttpListener|checkSplitOptionAndCaptureSnapShotForResponse|Auto split page url for URL type = http://172.24.1.4:8086/api/v2/setup
1/25 0:26:48|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1674629808228
1/25 0:26:48|Utils|convertToSecond method called|time = 6299.0
1/25 0:26:48|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1674629808228
1/25 0:26:48|Utils|convertToSecond method called|time = 6299.0
1/25 0:26:48|ChromeRecordingHttpListener|onCompleted |Adding dump diretory with path=C:\Users\kanhucharan.ghadai\Desktop\recorder\\scripts\workspace/admin/system/cavisson/default/default/scripts/influxdbook\dump\flow\172.24.1.4_8086/api/v2/
1/25 0:26:48|ChromeRecordingHttpListener|onBeforeURLRequest|method called.
1/25 0:26:48|ChromeRecordingHttpListener|onBeforeSendHeaders for url = http://172.24.1.4:8086/76.4f05d3498e.js|method called.
1/25 0:26:48|ChromeRecordingHttpListener|dumpRequestHeaders|method called.
1/25 0:26:48|Utils|getURLTracker|urlString = http://172.24.1.4:8086/76.4f05d3498e.js, requestOrResponce = request
1/25 0:26:48|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1674629808258
1/25 0:26:48|Utils|convertToSecond method called|time = 6329.0
1/25 0:26:48|Utils|isSplit|Method called.
1/25 0:26:48|Utils|isSplit|Splitting for Ajax Header = false
1/25 0:26:48|Utils|isSplit|Splitting for method GET = false
1/25 0:26:48|Utils|isSplit|result = false
1/25 0:26:48|Utils|isSplitForTimeDiff|Method called.
1/25 0:26:48|Utils|isSplit|Splitting for time 0.02999999999999936 = false
1/25 0:26:48|Utils|isSplit|result = false
1/25 0:26:48|Utils|isSplitForURLType|Method called.
1/25 0:26:48|Utils|isSplitForURLType|value = false
1/25 0:26:48|Utils|isSplitForURLType|value = false
1/25 0:26:48|Utils|isSplit|isSplitForURLType = false
1/25 0:26:48|Utils|getURLTracker|urlString = http://172.24.1.4:8086/76.4f05d3498e.js, requestOrResponce = response
1/25 0:26:48|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1674629808273
1/25 0:26:48|Utils|convertToSecond method called|time = 6344.0
1/25 0:26:48|Utils|isSplit|Method called.
1/25 0:26:48|Utils|isSplit|Splitting for Ajax Header = false
1/25 0:26:48|Utils|isSplit|Splitting for method GET = false
1/25 0:26:48|Utils|isSplit|result = false
1/25 0:26:48|Utils|isSplitForTimeDiff|Method called.
1/25 0:26:48|Utils|isSplit|Splitting for time 0.02999999999999936 = false
1/25 0:26:48|Utils|isSplit|result = false
1/25 0:26:48|Utils|isSplitForURLType|Method called.
1/25 0:26:48|Utils|isSplitForURLType|value = false
1/25 0:26:48|Utils|isSplitForURLType|value = false
1/25 0:26:48|Utils|isSplitForURLType|value = false
1/25 0:26:48|Utils|isSplit|isSplitForURLType = false
1/25 0:26:48|ChromeRecordingHttpListener|checkSplitOptionAndCaptureSnapShotForResponse|Auto split option not valid for URL = http://172.24.1.4:8086/76.4f05d3498e.js
1/25 0:26:48|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1674629808273
1/25 0:26:48|Utils|convertToSecond method called|time = 6344.0
1/25 0:26:48|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1674629808273
1/25 0:26:48|Utils|convertToSecond method called|time = 6344.0
1/25 0:26:48|ChromeRecordingHttpListener|onCompleted |Adding dump diretory with path=C:\Users\kanhucharan.ghadai\Desktop\recorder\\scripts\workspace/admin/system/cavisson/default/default/scripts/influxdbook\dump\flow\172.24.1.4_8086/
1/25 0:26:48|ChromeRecordingHttpListener|onBeforeURLRequest|method called.
1/25 0:26:48|ChromeRecordingHttpListener|onBeforeSendHeaders for url = http://172.24.1.4:8086/api/v2/setup|method called.
1/25 0:26:48|ChromeRecordingHttpListener|dumpRequestHeaders|method called.
1/25 0:26:48|Utils|getURLTracker|urlString = http://172.24.1.4:8086/api/v2/setup, requestOrResponce = request
1/25 0:26:48|ChromeRecordingHttpListener|dumpRequestHeaders|URL is alredy captured. http://172.24.1.4:8086/api/v2/setup
1/25 0:26:48|ChromeRecordingHttpListener|onBeforeURLRequest|method called.
1/25 0:26:48|ProgressBar|setVisible|Method Called. bool = false
1/25 0:26:48|ChromeRecordingHttpListener|onBeforeSendHeaders for url = http://172.24.1.4:8086/favicon.ico|method called.
1/25 0:26:48|ChromeRecordingHttpListener|dumpRequestHeaders|method called.
1/25 0:26:48|Utils|getURLTracker|urlString = http://172.24.1.4:8086/favicon.ico, requestOrResponce = request
1/25 0:26:48|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1674629808315
1/25 0:26:48|Utils|convertToSecond method called|time = 6386.0
1/25 0:26:48|Utils|isSplit|Method called.
1/25 0:26:48|Utils|isSplit|Splitting for Ajax Header = false
1/25 0:26:48|Utils|isSplit|Splitting for method GET = false
1/25 0:26:48|Utils|isSplit|result = false
1/25 0:26:48|Utils|isSplitForTimeDiff|Method called.
1/25 0:26:48|Utils|isSplit|Splitting for time 0.041999999999999815 = false
1/25 0:26:48|Utils|isSplit|result = false
1/25 0:26:48|Utils|isSplitForURLType|Method called.
1/25 0:26:48|Utils|isSplitForURLType|value = false
1/25 0:26:48|Utils|isSplitForURLType|value = false
1/25 0:26:48|Utils|isSplit|isSplitForURLType = false
